انجام شده
طراحی - طراحی اولیه صفحات وب سایت
تولید محتوا - محتوای اولیه صفحات وب سایت
امور فنی - قابلیت مشارکت در بهبود محتوای تمامی صفحات وب سایت
امور فنی - آپدیت اتوماتیک وب سایت با هر بار بروزرسانی محتوا
امور فنی - مجزا بودن سورس کد پروژه از محتوا
امور فنی - قابلیت نوشتن پست در بخش انتشارات
امور فنی - قابلیت ایجاد رویداد کارگاه و دریافت تصاویر شبکه های اجتماعی و نسخه قابل چاپ
امور فنی - قابلیت ایجاد مسابقات برنامه نویسی - به صورت آزمایشی
امور فنی - قابلیت اضافه کردن پروژه های پایانی دانشجویان - به صورت آزمایشی
امور فنی - اضافه کردن صفحه بندی برای بخش مسابقات، رویدادها، انتشارات و سوالات متداول
امور فنی - اضافه کردن قابلیت جستجو برای بخش مسابقات، رویدادها، انتشارات و سوالات متداول
امور فنی - ساخت صفحات مجزا برای هر درس
روابط عمومی - صحبت با اساتید گروه برای عضویت در صفحه گیتهاب انجمن
امور فنی - مهاجرت از jekyll به nextjs

#title, انجام شده
#header, انجام شده
#type, string
#show, true
#date, 2023-12-11 21:00
#version, 1402
#description, لیست کارهای انجام شده
