برای انجام
روابط عمومی - دعوت از دانشجویان گروه برای یادگرفتن گیت و عضویت در صفحه گیتهاب انجمن
تولید محتوا - قرار دادن منابع درسی، سیلاب، تمرینات و بارم بندی دروس توسط اساتید یا نماینده کلاس
تولید محتوا - لینک دادن تمرینات و پروژه های انجام شده در صفحه درس توسط دانشجویان
تولید محتوا - جمع آوری گزارش کار آزمایشگاه ها توسط دانشجویان
تولید محتوا - جمع آوری جزوات دروس به خصوص دروس ریاضی توسط دانشجویان
تولید محتوا - بهبود محتوای صفحات وب سایت از لحاظ نگارشی
تولید محتوا - تدارک آموزش گیت به صورت قدم به قدم در بخش انتشارات
طراحی - بازطراحی صفحات وب سایت به کمک figma

#title, برای انجام
#header, برای انجام
#type, string
#show, true
#date, 2023-12-11 21:00
#version, 1402
#description, لیست کارهای قابل انجام
