ردیف,درس,واحد,گرایش,نوع,پیشنیاز,همنیاز,منبع
1,شبکه های کامپیوتری,3,,نظری,آمار و احتمال مهندسی + معماری کامپیوتر,سیستم‌های عامل,https://codegeeks.ir/requirements/courses/networks
2,آزمایشگاه سیستم‌های عامل,1,,عملی,سیستم عامل - طبق مصوبه  14000304 گروه,,https://codegeeks.ir/requirements/courses/laboratory
3,جبر خطی کاربردی,3,,نظری,ریاضی عمومی 2,,
4,طراحی الگوریتم‌ها,3,,نظری,ریاضیات گسسته + ساختمان داده‌ها و الگوریتم‌ها,,https://codegeeks.ir/requirements/courses/algorithm-design
5,روش پژوهش و ارائه,2,,نظری,زبان تخصصی + نیمسال 5 به بالاتر,,
6,اصول طراحی کامپایلر,3,نرم افزار، شبکه,نظری,نظریه زبان‌ها و ماشین‌ها,,https://codegeeks.ir/requirements/courses/compiler
6,مبانی و کاربردهای هوش مصنوعی,3,هوش مصنوعی، شبکه,نظری,ساختمان داده‌ها و الگوریتم‌ها,طراحی الگوریتم‌ها - طبق مصوبه 980311 گروه,https://codegeeks.ir/requirements/courses/artificial-intelligence
7,بسته تاریخ و تمدن اسلامی,2,,,,,
#title, نیمسال پنجم
#header, ردیف,درس,واحد,گرایش,نوع,پیشنیاز,همنیاز,منبع
#type, integer, title, integer, title, title, title, title, link
#show, true, true, false, false, false, false, false, false
#date, 2022-09-26 09:00
#version, 1401
#description, نیمسال پنجم − ۱۷ واحد
#element, rows

